date,prophet_units,sku,neural_units,ensemble_units
2024-06-23,25.03614850114883,SKU_130,86.6558,55.845974250574415
2024-06-30,25.18373008012046,SKU_130,87.28265,56.23319004006023
2024-07-07,25.331311659092087,SKU_130,87.909454,56.620382829546045
2024-07-14,25.47889323806372,SKU_130,88.487206,56.98304961903186
2024-07-21,25.626474817035337,SKU_130,89.114006,57.370240408517674
2024-07-28,25.774056396006973,SKU_130,89.74078,57.757418198003485
2024-08-04,25.921637974978594,SKU_130,90.318565,58.1201014874893
2024-08-11,26.069219553950223,SKU_130,90.89632,58.48276977697511
2024-08-18,26.21680113292185,SKU_130,91.523125,58.869963066460926
2024-08-25,26.36438271189348,SKU_130,92.14991,59.257146355946745
2024-09-01,26.51196429086511,SKU_130,92.727684,59.61982414543255
2024-09-08,26.65954586983673,SKU_130,93.30542,59.982482934918366
2024-06-23,18.319242677672676,SKU_131,23.067215,20.69322883883634
2024-06-30,18.319913687608487,SKU_131,22.321285,20.320599343804243
2024-07-07,18.3205846975443,SKU_131,21.57533,19.94795734877215
2024-07-14,18.321255707480116,SKU_131,20.754135,19.53769535374006
2024-07-21,18.321926717415927,SKU_131,20.008183,19.16505485870796
2024-07-28,18.322597727351734,SKU_131,19.26221,18.792403863675865
2024-08-04,18.323268737287552,SKU_131,18.441034,18.382151368643775
2024-08-11,18.323939747223367,SKU_131,17.61984,17.971889873611683
2024-08-18,18.32461075715918,SKU_131,16.873886,17.59924837857959
2024-08-25,18.325281767094992,SKU_131,16.12791,17.226595883547496
2024-09-01,18.325952777030807,SKU_131,15.306737,16.816344888515403
2024-09-08,18.326623786966618,SKU_131,14.485541,16.40608239348331
2024-06-23,17.069394929488585,SKU_132,68.17871,42.62405246474429
2024-06-30,17.06826565717834,SKU_132,68.1767,42.62248282858917
2024-07-07,17.067136384868096,SKU_132,68.17459,42.620863192434044
2024-07-14,17.06600711255785,SKU_132,68.19753,42.63176855627893
2024-07-21,17.0648778402476,SKU_132,68.19543,42.6301539201238
2024-07-28,17.063748567937356,SKU_132,68.19324,42.62849428396868
2024-08-04,17.06261929562711,SKU_132,68.21627,42.63944464781355
2024-08-11,17.061490023316864,SKU_132,68.239204,42.65034701165843
2024-08-18,17.06036075100662,SKU_132,68.237114,42.648737375503316
2024-08-25,17.059231478696372,SKU_132,68.234924,42.64707773934819
2024-09-01,17.058102206386128,SKU_132,68.25795,42.65802610319306
2024-09-08,17.056972934075883,SKU_132,68.28087,42.66892146703794
2024-06-23,22.79259404694809,SKU_133,-21.911732,0.4404310234740443
2024-06-30,22.88409796026273,SKU_133,-22.116606,0.38374598013136385
2024-07-07,22.97560187357737,SKU_133,-22.32145,0.3270759367886864
2024-07-14,23.06710578689201,SKU_133,-22.53097,0.26806789344600546
2024-07-21,23.158609700206657,SKU_133,-22.735817,0.21139635010332825
2024-07-28,23.2501136135213,SKU_133,-22.940634,0.15473980676065047
2024-08-04,23.34161752683594,SKU_133,-23.150179,0.0957192634179691
2024-08-11,23.433121440150583,SKU_133,-23.359694,0.03671372007529072
2024-08-18,23.524625353465236,SKU_133,-23.564545,-0.019959823267381438
2024-08-25,23.61612926677987,SKU_133,-23.769363,-0.07661686661006506
2024-09-01,23.70763318009452,SKU_133,-23.978909,-0.1356379099527416
2024-09-08,23.79913709340916,SKU_133,-24.18842,-0.1946414532954197
2024-06-23,26.08245284413611,SKU_134,-39.974995,-6.946271077931945
2024-06-30,26.267430595119844,SKU_134,-39.73525,-6.733909702440078
2024-07-07,26.45240834610359,SKU_134,-39.49549,-6.521540826948204
2024-07-14,26.63738609708733,SKU_134,-39.199974,-6.281293951456334
2024-07-21,26.82236384807107,SKU_134,-38.960217,-6.068926575964465
2024-07-28,27.00734159905481,SKU_134,-38.720432,-5.8565452004725955
2024-08-04,27.19231935003855,SKU_134,-38.42494,-5.616310324980725
2024-08-11,27.377297101022293,SKU_134,-38.12943,-5.376066449488853
2024-08-18,27.562274852006038,SKU_134,-37.88966,-5.163692573996981
2024-08-25,27.74725260298977,SKU_134,-37.649883,-4.951315198505116
2024-09-01,27.932230353973512,SKU_134,-37.354393,-4.711081323013245
2024-09-08,28.117208104957257,SKU_134,-37.058876,-4.4708339475213705
2024-06-23,16.878285279460517,SKU_135,-46.119087,-14.620400860269742
2024-06-30,16.756519385554398,SKU_135,-46.286182,-14.7648313072228
2024-07-07,16.634753491648272,SKU_135,-46.453148,-14.909197254175863
2024-07-14,16.51298759774215,SKU_135,-46.57948,-15.033246201128923
2024-07-21,16.39122170383603,SKU_135,-46.74646,-15.177619148081984
2024-07-28,16.269455809929905,SKU_135,-46.913326,-15.321935095035046
2024-08-04,16.147689916023783,SKU_135,-47.039776,-15.44604304198811
2024-08-11,16.025924022117664,SKU_135,-47.166092,-15.570083988941168
2024-08-18,15.904158128211538,SKU_135,-47.33309,-15.71446593589423
2024-08-25,15.782392234305416,SKU_135,-47.49996,-15.858783882847293
2024-09-01,15.660626340399295,SKU_135,-47.6264,-15.98288682980035
2024-09-08,15.538860446493173,SKU_135,-47.752705,-16.106922276753412
2024-06-23,17.833836192905853,SKU_136,-31.779316,-6.972739903547074
2024-06-30,17.750709872113614,SKU_136,-32.30068,-7.274985063943193
2024-07-07,17.66758355132138,SKU_136,-32.821964,-7.577190224339311
2024-07-14,17.58445723052914,SKU_136,-33.29705,-7.85629638473543
2024-07-21,17.501330909736904,SKU_136,-33.818344,-8.15850654513155
2024-07-28,17.418204588944665,SKU_136,-34.339554,-8.460674705527667
2024-08-04,17.335078268152426,SKU_136,-34.81472,-8.739820865923788
2024-08-11,17.25195194736019,SKU_136,-35.289795,-9.018921526319904
2024-08-18,17.16882562656795,SKU_136,-35.811096,-9.321135186716024
2024-08-25,17.085699305775712,SKU_136,-36.332325,-9.623312847112143
2024-09-01,17.002572984983477,SKU_136,-36.80748,-9.90245350750826
2024-09-08,16.919446664191238,SKU_136,-37.282547,-10.181550167904382
2024-06-30,15.01599687723464,SKU_137,12.976122,13.99605943861732
2024-07-07,15.00446309026049,SKU_137,12.865455,13.934959045130245
2024-07-14,14.992929303286338,SKU_137,12.753595,13.87326215164317
2024-07-21,14.981395516312189,SKU_137,12.642937,13.812166258156093
2024-07-28,14.969861729338035,SKU_137,12.532182,13.751021864669017
2024-08-04,14.958327942363884,SKU_137,12.420414,13.68937097118194
2024-08-11,14.946794155389735,SKU_137,12.308542,13.627668077694867
2024-08-18,14.935260368415584,SKU_137,12.197893,13.566576684207792
2024-08-25,14.923726581441434,SKU_137,12.087146,13.505436290720716
2024-09-01,14.912192794467282,SKU_137,11.975367,13.443779897233641
2024-09-08,14.900659007493129,SKU_137,11.863485,13.382072003746565
2024-09-15,14.889125220518975,SKU_137,11.752848,13.320986610259489
2024-06-23,21.20820102320773,SKU_138,77.495674,49.351937511603865
2024-06-30,21.23922108182208,SKU_138,76.51571,48.87746554091104
2024-07-07,21.270241140436426,SKU_138,75.53577,48.40300557021821
2024-07-14,21.301261199050767,SKU_138,74.59663,47.94894559952539
2024-07-21,21.33228125766511,SKU_138,73.61667,47.47447562883255
2024-07-28,21.36330131627945,SKU_138,72.63674,47.000020658139725
2024-08-04,21.3943213748938,SKU_138,71.697586,46.5459536874469
2024-08-11,21.42534143350814,SKU_138,70.758446,46.09189371675407
2024-08-18,21.456361492122483,SKU_138,69.77849,45.617425746061244
2024-08-25,21.487381550736828,SKU_138,68.79855,45.14296577536842
2024-09-01,21.51840160935117,SKU_138,67.859406,44.68890380467559
2024-09-08,21.54942166796552,SKU_138,66.920265,44.23484333398276
2024-06-23,17.75713513222651,SKU_139,15.828544,16.792839566113255
2024-06-30,17.76732853605189,SKU_139,16.247845,17.007586768025945
2024-07-07,17.77752193987728,SKU_139,16.667147,17.222334469938637
2024-07-14,17.787715343702658,SKU_139,17.046421,17.417068171851326
2024-07-21,17.797908747528044,SKU_139,17.46572,17.631814373764023
2024-07-28,17.808102151353427,SKU_139,17.885014,17.846558075676715
2024-08-04,17.81829555517881,SKU_139,18.264292,18.041293777589406
2024-08-11,17.828488959004197,SKU_139,18.643562,18.236025479502096
2024-08-18,17.83868236282958,SKU_139,19.062862,18.45077218141479
2024-08-25,17.848875766654963,SKU_139,19.482162,18.66551888332748
2024-09-01,17.859069170480346,SKU_139,19.861439,18.86025408524017
2024-09-08,17.869262574305733,SKU_139,20.240711,19.054986787152867
2024-06-16,14.537803422192653,SKU_140,73.18879,43.863296711096325
