date,forecast_units,sku
2024-09-01,36.715973,SKU_108
2024-09-08,36.547935,SKU_108
2024-09-15,36.37838,SKU_108
2024-06-09,5.445842,SKU_109
2024-06-16,5.5046163,SKU_109
2024-06-23,5.5218596,SKU_109
2024-06-30,5.5805516,SKU_109
2024-07-07,5.6392794,SKU_109
2024-07-14,5.6772723,SKU_109
2024-07-21,5.735998,SKU_109
2024-07-28,5.794765,SKU_109
2024-08-04,5.8327155,SKU_109
2024-08-11,5.870714,SKU_109
2024-08-18,5.9294353,SKU_109
2024-08-25,5.9881973,SKU_109
2024-06-23,1.097465,SKU_110
2024-06-30,0.9966955,SKU_110
2024-07-07,0.8959489,SKU_110
2024-07-14,0.8365176,SKU_110
2024-07-21,0.73576593,SKU_110
2024-07-28,0.6350386,SKU_110
2024-08-04,0.57558656,SKU_110
2024-08-11,0.5161588,SKU_110
2024-08-18,0.41540575,SKU_110
2024-08-25,0.31467664,SKU_110
2024-09-01,0.25522673,SKU_110
2024-09-08,0.19580328,SKU_110
2024-06-23,4.202901,SKU_111
2024-06-30,4.1371374,SKU_111
2024-07-07,4.071396,SKU_111
2024-07-14,4.0173893,SKU_111
2024-07-21,3.9516528,SKU_111
2024-07-28,3.8859336,SKU_111
2024-08-04,3.8319,SKU_111
2024-08-11,3.7779007,SKU_111
2024-08-18,3.7121592,SKU_111
2024-08-25,3.646435,SKU_111
2024-09-01,3.5924087,SKU_111
2024-09-08,3.538407,SKU_111
2024-06-23,-19.619698,SKU_112
2024-06-30,-19.57314,SKU_112
2024-07-07,-19.526508,SKU_112
2024-07-14,-19.526545,SKU_112
2024-07-21,-19.479912,SKU_112
2024-07-28,-19.433207,SKU_112
2024-08-04,-19.43332,SKU_112
2024-08-11,-19.43335,SKU_112
2024-08-18,-19.386723,SKU_112
2024-08-25,-19.340025,SKU_112
2024-09-01,-19.340134,SKU_112
2024-09-08,-19.34015,SKU_112
2024-06-30,-11.234268,SKU_113
2024-07-07,-11.422085,SKU_113
2024-07-14,-11.49972,SKU_113
2024-07-21,-11.687536,SKU_113
2024-07-28,-11.875318,SKU_113
